Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.831746,NA,2472.566,2464.782,0.125,0.524,6.505,0.000,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.001,0.002,0.001,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.834481,NA,2.736,4.428,0.103,0.433,8.196,0.158,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,1.134,1.440,1.134,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,1,0,2940.838596,NA,4.115,0.000,0.089,4.504,0.000,1.095,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.754,0.958,0.754,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.843225,NA,4.629,8.072,0.138,3.375,7.525,0.729,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.670,0.851,0.670,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.846918,NA,3.693,4.385,0.114,0.671,8.216,0.182,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.840,1.067,0.840,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,1,0,2940.851108,NA,4.190,0.000,0.094,4.512,0.000,1.077,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.740,0.940,0.740,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.855607,NA,4.499,8.129,0.111,2.417,7.656,0.537,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.689,0.876,0.689,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.859532,NA,3.925,4.181,0.083,2.231,7.913,0.568,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.790,1.004,0.790,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.863872,NA,4.340,4.198,0.135,3.027,7.771,0.697,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.715,0.908,0.715,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Code.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1881x1289,Other,0,14788,0x000001D76B6E4040,0,0,Composed: Flip,0,0,2940.867717,NA,3.845,4.138,0.068,0.509,8.065,0.132,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.807,1.025,0.807,253,322,322,NA,4291,46, 77,133.700,NA,61,69,66,65,42,51,56,62,54,54,61,55,46,50,36,58,36,39,39,41,25,36,35,37,35,40,29,38,34,40,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
