Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2947.657794,NA,8.071,8.237,0.218,0.445,8.124,0.055,NA,1920,9751,71,73,NA,NA,NA,NA,NA,NA,0.378,0.479,0.378,258,328,328,NA,4271,42, 76,127.443,NA,64,59,66,61,44,34,51,48,49,49,62,48,47,42,44,36,44,29,39,35,39,24,40,27,40,36,37,27,38,33,37,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2947.800498,NA,142.704,141.882,0.123,0.191,7.302,0.001,NA,1920,9751,71,73,NA,NA,NA,NA,NA,NA,0.021,0.027,0.021,258,328,328,NA,4271,42, 76,127.443,NA,64,59,66,61,44,34,51,48,49,49,62,48,47,42,44,36,44,29,39,35,39,24,40,27,40,36,37,27,38,33,37,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2948.352055,NA,551.558,550.488,0.288,0.489,6.233,0.001,NA,1920,9751,70,73,NA,NA,NA,NA,NA,NA,0.006,0.007,0.006,252,321,321,NA,4289,45, 75,124.555,NA,59,68,58,65,47,41,53,57,51,55,68,50,48,49,44,39,43,36,39,35,38,31,41,32,44,34,39,27,39,30,38,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2948.967883,NA,615.828,617.260,0.110,1.065,7.665,0.002,NA,1920,9751,71,73,NA,NA,NA,NA,NA,NA,0.005,0.006,0.005,258,327,327,NA,4283,46, 75,129.570,NA,61,70,61,70,51,46,55,53,56,51,63,52,52,43,46,44,44,33,42,36,39,25,41,30,43,40,41,27,44,29,39,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2948.976821,NA,8.938,16.849,0.244,3.410,15.576,0.382,NA,1920,9751,71,73,NA,NA,NA,NA,NA,NA,0.342,0.433,0.342,258,327,327,NA,4283,46, 75,129.570,NA,61,70,61,70,51,46,55,53,56,51,63,52,52,43,46,44,44,33,42,36,39,25,41,30,43,40,41,27,44,29,39,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2949.889347,NA,912.526,905.021,0.240,0.296,8.072,0.000,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.003,0.004,0.003,246,314,314,NA,4289,47, 75,126.936,NA,56,74,66,62,51,48,54,57,54,56,64,58,53,49,47,43,44,36,46,34,39,29,43,32,44,38,40,32,40,35,44,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2949.924496,NA,35.150,37.673,0.112,0.976,10.595,0.028,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.090,0.115,0.090,246,314,314,NA,4289,47, 75,126.936,NA,56,74,66,62,51,48,54,57,54,56,64,58,53,49,47,43,44,36,46,34,39,29,43,32,44,38,40,32,40,35,44,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2949.955220,NA,30.724,28.959,0.197,1.175,8.830,0.038,NA,1920,9751,66,73,NA,NA,NA,NA,NA,NA,0.103,0.132,0.103,246,314,314,NA,4289,47, 75,126.936,NA,56,74,66,62,51,48,54,57,54,56,64,58,53,49,47,43,44,36,46,34,39,29,43,32,44,38,40,32,40,35,44,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2962.942104,NA,12.598,16.742,1.917,1.896,10.013,0.151,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,0.244,0.310,0.244,255,324,324,NA,4262,48, 76,131.524,NA,68,74,71,63,46,49,63,54,62,54,71,55,46,52,43,48,37,45,36,45,28,42,33,39,41,43,31,43,33,42,34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chrome.exe,NVIDIA GeForce RTX 3090,AMD Ryzen 9 5950X 16-Core Processor            ,1271x1308,Other,0,9392,0x000002A54450FD80,0,0,Composed: Flip,0,0,2962.979571,NA,37.468,33.299,0.287,1.589,5.844,0.042,NA,1920,9751,74,73,NA,NA,NA,NA,NA,NA,0.082,0.104,0.082,255,324,324,NA,4262,48, 76,131.524,NA,68,74,71,63,46,49,63,54,62,54,71,55,46,52,43,48,37,45,36,45,28,42,33,39,41,43,31,43,33,42,34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
